price,address,bds,ba,sqft,image
"$779,000","2247 E 28th St, Brooklyn, NY 11229",3,3,"1,860","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Est. $532,462","510 Calhoun Ave, Bronx, NY 10465",5,2,"1,600","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$431,713","62 Edgewater Park #A, Bronx, NY 10465",3,3,"1,600","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$839,000","1 Bayview Ave, Howard Beach, NY 11414",4,3,"2,370",N/A
"Est. $809,327","14537 105th Ave, Jamaica, NY 11435",6,5,"2,576","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,199,000","2728 Thomson Ave UNIT 128, Long Island City, NY 11101",1,1,"1,077",https://photos.zillowstatic.com/p_e/IS37uyk7m1qkw50000000000.jpg
"$1,399,000","468 W 145th St, New York, NY 10031",Studio,3,"1,122",N/A
"$949,000","212-06 99th Ave FLOOR 1, Queens Village, NY 11429",6,4,"1,200",N/A
"$995,000","88 Conselyea St APT F3, Brooklyn, NY 11211",1,2,811,https://photos.zillowstatic.com/p_e/IS72lvxstu5t3j1000000000.jpg
"$585,000","21 Chianti Ct, Staten Island, NY 10304",3,3,"1,978",https://photos.zillowstatic.com/p_e/IS3nq6x46g42ug0000000000.jpg
"$405,000","101 Redwood Loop, Staten Island, NY 10309",3,2,"1,332",https://photos.zillowstatic.com/p_e/ISf0tim55p2w1e1000000000.jpg
"$1,900,000","1545 Broadway, Brooklyn, NY 11221",6,3,"4,000",https://photos.zillowstatic.com/p_e/ISjjymlgjk0ao80000000000.jpg
"$520,000","17238 127th Ave, Jamaica, NY 11434",5,2,"1,230",https://photos.zillowstatic.com/p_e/ISnqe3kf62uo0s1000000000.jpg
"$560,000","663 E 42nd St, Brooklyn, NY 11203",3,3,"1,800",https://photos.zillowstatic.com/p_e/ISrp8la5ab4f5b1000000000.jpg
"$760,000","3826 Cypress Ave, Brooklyn, NY 11224",7,2,"2,968","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$650,000","14538 115th Ave, Jamaica, NY 11436",3,3,"1,248","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$399,999","529 Saint Anns Ave, Bronx, NY 10455","1,657",N/A,N/A,N/A
"$439,000","119-18 Inwood St, Jamaica, NY 11436",3,2,--,N/A
$--,"254 Jacques Ave, Staten Island, NY 10306",2,2,736,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Est. $506,216","208 Robinson Ave, Staten Island, NY 10312",3,2,"1,230","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,200,000","1582 Pacific St, Brooklyn, NY 11213",3,3,"2,250",N/A
"$669,000","254 Amboy St, Brooklyn, NY 11212",3,2,"1,116","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$3,499,999","3413 9th St, Long Island City, NY 11106",11,5,"3,850","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,700,000","258-05 83rd Ave, Floral Park, NY 11004",6,4,"5,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$238,000","246-20 57th Dr, Little Neck, NY 11362",1,1,960,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,100,000","445 5th Ave #28H, New York, NY 10016",1,1,660,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$299,900","40 Brighton 1st Rd APT 8K, Brooklyn, NY 11235",Studio,1,650,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
